StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc
147,Otay Lake,Chula Vista,Southern Region Office,San Diego,4/15/1999,12/31/2050,True,True,580,Grass,32º37'42N / 32.628208,-116º56'21W / -116.939280,"91921, 91915, 91914, 91913, 91912, 91911, 91910, 91909, 90910",
148,Merced,Merced,South Central Region Office,Merced,1/4/1999,4/9/2024,False,True,200,Grass,37º18'51N / 37.314139,-120º23'12W / -120.3867,"95340, 95365, 95344, 95341, 95333",
149,Oakland Foothills,Oakland,North Central Region Office,Alameda,3/25/1999,8/13/2013,False,False,145,Grass,37º46'50N / 37.780653,-122º10'49W / -122.180150,94613,
150,Miramar,La Jolla,Southern Region Office,San Diego,4/23/1999,12/31/2050,True,True,445,Grass,32º53'9N / 32.885847,-117º8'35W / -117.143140,"92093, 92092, 92039, 92038, 92037",
151,Ripley,Blythe,Southern Region Office,Riverside,12/19/1998,12/31/2050,True,True,251,Alfalfa,33º31'56N / 33.532222,-114º38'2W / -114.633890,"92228, 92227, 92226, 92225",
152,Camarillo,Camarillo,Southern Region Office,Ventura,1/21/2000,12/31/2050,True,True,130,Grass,34º13'10N / 34.219386,-118º59'33W / -118.992440,"93012, 93011, 93010",
153,Escondido SPV,Escondido,Southern Region Office,San Diego,2/1/1999,12/31/2050,True,True,390,Grass,33º4'52N / 33.081050,-116º58'33W / -116.9757,"92046, 92033, 92030, 92029, 92027, 92026, 92025",
154,Salton Sea North,North Shore,Southern Region Office,Riverside,10/15/1998,10/30/2003,False,False,-200,Bare,33º30'14N / 33.503889,-115º54'56W / -115.915560,92257,
155,Bryte (experimental),West Sacramento,North Central Region Office,Yolo,12/10/1998,9/6/2022,False,False,40,Bare,38º35'57N / 38.599158,-121º32'25W / -121.540410,"95799, 95798, 95691, 95605",
156,Oxnard,Oxnard,Southern Region Office,Ventura,10/12/2001,4/27/2017,False,False,48,Grass,34º14'1N / 34.233639,-119º11'49W / -119.196920,"93042, 93044, 93043, 93041, 93035, 93034, 93032, 93031, 93030",
157,Point San Pedro,San Rafael,North Central Region Office,Marin,10/11/2002,12/31/2050,True,True,5,Grass,37º59'44N / 37.995478,-122º28'4W / -122.467656,94925,
158,Bennett Valley,Santa Rosa,North Central Region Office,Sonoma,10/1/2000,12/31/2050,True,True,270,Grass,38º25'10N / 38.419439,-122º39'31W / -122.658720,"95409, 95408, 95407, 95406, 95405, 95404, 95403, 95402, 95401",
159,Monrovia,Monrovia,Southern Region Office,Los Angeles,10/15/1999,12/31/2050,True,False,595,Grass,34º8'47N / 34.146372,-117º59'9W / -117.9858,"91017, 91016",
160,San Luis Obispo West,San Luis Obispo,Southern Region Office,San Luis Obispo,11/1/2000,12/31/2050,True,True,285,Grass,35º20'7N / 35.335261,-120º44'9W / -120.735880,"93410, 93409, 93408, 93407, 93406, 93405, 93403, 93402, 93401",
161,Patterson,Patterson,South Central Region Office,Stanislaus,8/23/1999,10/12/2017,False,False,183,Grass,37º26'20N / 37.438944,-121º8'19W / -121.138510,"95387, 95313, 95363",
162,Indio,Indio,Southern Region Office,Riverside,12/24/1999,2/26/2006,False,True,40,Grass,33º44'46N / 33.746111,-116º15'28W / -116.257780,"92203, 92202, 92201",
163,Atascadero,Atascadero,Southern Region Office,San Luis Obispo,11/21/2000,12/31/2050,True,True,885,Grass,35º28'21N / 35.472556,-120º38'53W / -120.648140,"93465, 93453, 93423, 93422",
164,Valley of the Moon,Sonoma,North Central Region Office,Sonoma,4/1/2000,12/18/2001,False,True,155,Grass,38º18'40N / 38.311144,-122º29'55W / -122.498660,"95676, 95433, 95416",
165,Sisquoc,Santa Maria,Southern Region Office,Santa Barbara,4/26/2000,12/31/2050,True,True,536,Grass,34º50'31N / 34.841878,-120º12'46W / -120.212740,"93458, 93457, 93456, 93455, 93454",
166,Lodi West,Lodi,North Central Region Office,San Joaquin,9/13/2000,3/20/2015,False,True,25,Alfalfa,38º7'48N / 38.129933,-121º23'12W / -121.386590,"95632, 95258, 95256, 95220, 95242, 95241, 95240",
167,Tracy,Tracy,North Central Region Office,San Joaquin,9/1/2001,5/31/2017,False,True,82,Grass,37º43'33N / 37.725881,-121º28'32W / -121.475520,95376,
168,Denair,Denair,South Central Region Office,Stanislaus,8/28/2002,4/9/2009,False,True,140,Grass,37º33'11N / 37.553111,-120º46'45W / -120.779280,95316,
169,Porterville,Porterville,South Central Region Office,Tulare,8/2/2000,3/17/2023,False,True,400,Grass,36º4'55N / 36.082056,-119º5'36W / -119.093420,"93270, 93267, 93258, 93257, 93247, 93218",
170,Concord,Concord,North Central Region Office,Contra Costa,4/6/2001,12/31/2050,True,True,35,Grass,38º0'55N / 38.015372,-122º1'13W / -122.020280,"94529, 94527, 94524, 94523, 94522, 94521, 94520, 94519, 94518",
